id_parcela;id_contrato;numero_parcela;data_vencimento;data_pagamento;valor_devido;valor_pago;status_parcela;dias_atraso;categoria_aging
1;CTR00001;1;2025-02-04;2025-02-03;385,74;383,75;PAGO_EM_DIA;0;EM_DIA
2;CTR00001;2;2025-03-04;2025-03-03;385,74;381,97;PAGO_EM_DIA;0;EM_DIA
3;CTR00001;3;2025-04-04;2025-04-02;385,74;383,37;PAGO_EM_DIA;0;EM_DIA
4;CTR00001;4;2025-05-04;2025-05-01;385,74;381,02;PAGO_EM_DIA;0;EM_DIA
5;CTR00001;5;2025-06-04;2025-06-15;385,74;380,44;PAGO_COM_ATRASO;11;1-11 dias
6;CTR00001;6;2025-07-04;2025-07-04;385,74;383,76;PAGO_EM_DIA;0;EM_DIA
7;CTR00001;7;2025-08-04;2025-08-01;385,74;384,43;PAGO_EM_DIA;0;EM_DIA
8;CTR00001;8;2025-09-04;2025-09-16;385,74;383,5;PAGO_COM_ATRASO;12;1-12 dias
9;CTR00001;9;2025-10-04;2025-10-03;385,74;384,01;PAGO_EM_DIA;0;EM_DIA
10;CTR00001;10;2025-11-04;2025-11-09;385,74;381,49;PAGO_COM_ATRASO;5;1-5 dias
11;CTR00001;11;2025-12-04;;385,74;;INADIMPLENTE;198;90+ dias
12;CTR00001;12;2026-01-04;2026-01-03;385,74;383,7;PAGO_EM_DIA;0;EM_DIA
13;CTR00002;1;2023-10-24;2023-10-24;4162,62;4106,89;PAGO_EM_DIA;0;EM_DIA
14;CTR00002;2;2023-11-24;2023-11-23;4162,62;4082,69;PAGO_EM_DIA;0;EM_DIA
15;CTR00002;3;2023-12-24;2024-01-03;4162,62;4083,6;PAGO_COM_ATRASO;10;1-10 dias
16;CTR00002;4;2024-01-24;2024-02-03;4162,62;4149,56;PAGO_COM_ATRASO;10;1-10 dias
17;CTR00002;5;2024-02-24;2024-02-22;4162,62;4085,44;PAGO_EM_DIA;0;EM_DIA
18;CTR00002;6;2024-03-24;2024-03-23;4162,62;4159,04;PAGO_EM_DIA;0;EM_DIA
19;CTR00003;1;2025-05-06;2025-05-05;2834,91;2815,82;PAGO_EM_DIA;0;EM_DIA
20;CTR00003;2;2025-06-06;2025-06-04;2834,91;2790,6;PAGO_EM_DIA;0;EM_DIA
21;CTR00003;3;2025-07-06;2025-07-03;2834,91;2834,72;PAGO_EM_DIA;0;EM_DIA
22;CTR00003;4;2025-08-06;2025-08-06;2834,91;2784,72;PAGO_EM_DIA;0;EM_DIA
23;CTR00003;5;2025-09-06;2025-09-05;2834,91;2829,5;PAGO_EM_DIA;0;EM_DIA
24;CTR00003;6;2025-10-06;2025-10-05;2834,91;2832,58;PAGO_EM_DIA;0;EM_DIA
25;CTR00003;7;2025-11-06;2025-11-04;2834,91;2799,83;PAGO_EM_DIA;0;EM_DIA
26;CTR00003;8;2025-12-06;2025-12-06;2834,91;2800,09;PAGO_EM_DIA;0;EM_DIA
27;CTR00003;9;2026-01-06;2026-01-04;2834,91;2779,61;PAGO_EM_DIA;0;EM_DIA
28;CTR00003;10;2026-02-06;2026-02-04;2834,91;2807,37;PAGO_EM_DIA;0;EM_DIA
29;CTR00003;11;2026-03-06;2026-03-03;2834,91;2780,7;PAGO_EM_DIA;0;EM_DIA
30;CTR00003;12;2026-04-06;2026-04-10;2834,91;2796,37;PAGO_COM_ATRASO;4;1-4 dias
31;CTR00003;13;2026-05-06;2026-05-06;2834,91;2787,7;PAGO_EM_DIA;0;EM_DIA
32;CTR00003;14;2026-06-06;2026-06-15;2834,91;2808,44;PAGO_COM_ATRASO;9;1-9 dias
